Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
09:46:42,10,10,640000000,640000000,1810.2,2779.1,655.5,821.5,1.96,1.96,125288913.17,125402221.74,100%,100%,0,0,0
09:46:47,120,125,7680000000,8000000000,1893.84,2946.45,667.76,1157.71,18.86,18.81,1207296926.9,1204113335.09,100%,100%,1,1,1
09:46:52,143,136,9152000000,8704000000,1819.84,2496.01,573.39,834.14,25.15,23.93,1609502631.91,1531451729.49,100%,100%,2,2,2
09:46:57,129,107,8256000000,6848000000,1707.59,2479.41,532.5,922.29,22.29,18.12,1426552765.4,1159762308.51,100%,100%,3,3,3
09:47:02,89,84,5696000000,5376000000,1626.38,2878.82,546.99,1328.02,18.35,18.27,1174691647.78,1169076103.6,100%,100%,4,4,4
09:47:07,105,123,6720000000,7872000000,1733.07,3679.46,705.12,1463.87,22.44,25.76,1435929646.08,1648844019.34,100%,100%,5,5,5
09:47:12,129,119,8256000000,7616000000,1659.93,2426.34,584.71,919.16,22.22,20.52,1422310480.01,1313508959.23,100%,100%,6,6,6
09:47:17,93,107,5952000000,6848000000,1743.78,2505.04,625.73,1009.34,18.14,22.4,1160843173.6,1433711938.2,100%,100%,7,7,7
09:47:22,91,96,5824000000,6144000000,1963.15,3417.27,914.71,1513.94,19.59,19.64,1253525853.27,1256668975.54,100%,100%,8,8,8
09:47:27,113,94,7232000000,6016000000,1899.08,3088.03,781.58,1173.79,22.76,20.46,1456888531.71,1309332071.45,100%,100%,9,9,9
09:47:32,114,132,7296000000,8448000000,1638.46,2470.27,557.14,1005.48,21.84,26.85,1397576743.73,1718492069.9,100%,100%,10,10,10
09:47:37,112,125,7168000000,8000000000,1648.36,2544.21,583.33,1013.29,22.61,24.57,1447215556.61,1572609982.95,100%,100%,11,11,11
09:47:42,109,131,6976000000,8384000000,1684.75,2719.6,596.27,1116.34,21.18,25.95,1355281920.35,1660997498.3,100%,100%,12,12,12
09:47:47,73,82,4672000000,5248000000,1675.82,3181.95,672.33,1431.23,13.78,16.18,882037768.82,1035770398.09,100%,100%,13,13,13
09:47:52,105,121,6720000000,7744000000,1676.67,3386.17,705.48,1693.79,22.22,26.69,1421996957.78,1707841906.86,100%,100%,14,14,14
09:47:57,99,96,6336000000,6144000000,1942.98,3067.88,909.22,1442,18.99,18.08,1215654145.95,1157389892.5,100%,100%,15,15,15
09:48:02,99,97,6336000000,6208000000,1891.45,3110.53,820.63,1264.19,19.51,19.58,1248878508.27,1253098668.12,100%,100%,16,16,16
09:48:07,105,114,6720000000,7296000000,1832.99,2793.6,751.74,1216.06,21.33,22.71,1364929911.14,1453572244.72,100%,100%,17,17,17
09:48:12,117,103,7488000000,6592000000,1793.26,3073.42,745.97,1498.28,24.49,19.46,1567658002.18,1245681915.76,100%,100%,18,18,18
09:48:17,104,96,6656000000,6144000000,1737.63,3152.24,724.17,1501.94,20.04,18.73,1282372928.46,1198617501.41,100%,100%,19,19,19
09:48:22,93,83,5952000000,5312000000,1730.52,3688.42,701.22,1850.06,18.17,16.24,1162861410.39,1039404293.35,100%,100%,20,20,20
09:48:27,102,122,6528000000,7808000000,1627.22,3179.52,620.15,1458.18,20.93,26.11,1339391746,1671141583.77,100%,100%,21,21,21
09:48:32,107,97,6848000000,6208000000,1754.23,3159.43,639.96,1417.41,20.26,17.92,1296762161.6,1146561743.59,100%,100%,22,22,22
09:48:37,116,93,7424000000,5952000000,1680.03,3004.43,696.47,1438.99,23.09,18.9,1477873313.93,1209761434.42,100%,100%,23,23,23
09:48:42,95,104,6080000000,6656000000,1664.96,3005.14,673.95,1241.11,19.11,22.08,1222899792.8,1412908460.24,100%,100%,24,24,24
09:48:47,96,115,6144000000,7360000000,1730.04,3383.71,635.99,1596.15,19.81,22.52,1267648692.31,1441010719.03,100%,100%,25,25,25
09:48:52,102,76,6528000000,4864000000,1971.34,3391.78,906.63,1428.62,20.13,14.15,1288180064.01,905666897.02,100%,100%,26,26,26
09:48:57,93,97,5952000000,6208000000,1833.06,3678.21,814.96,1782.33,20.03,19.77,1282140685.5,1265333166.72,100%,100%,27,27,27
09:49:02,87,89,5568000000,5696000000,1820.97,4068.1,831.1,2036.31,16.39,16.57,1049091128.55,1060659283.51,100%,100%,28,28,28
09:49:07,57,100,3648000000,6400000000,2079.18,3640.92,1085.65,1822.46,11.68,19.49,747418276.56,1247443519.58,100%,100%,29,29,29
09:49:12,76,73,4864000000,4672000000,2009.7,3957.1,923.41,2051.64,16.34,15.78,1045807833.54,1010239639.5,100%,100%,30,30,30
09:49:17,94,106,6016000000,6784000000,1772.59,3708.68,765.48,1941.83,18.08,22.93,1157155997.15,1467517415.13,100%,100%,31,31,31
09:49:22,76,78,4864000000,4992000000,1739.37,4360,712.92,2465.13,13.85,13.42,886110924.69,859142708.39,100%,100%,32,32,32
09:49:27,89,77,5696000000,4928000000,1754.9,4551.1,695.22,2282,18.6,16.18,1190299287.56,1035478800.84,100%,100%,33,33,33
09:49:32,89,73,5696000000,4672000000,1686.85,3753.93,679.54,1726.71,17.78,15.43,1138189380.14,987275042.04,100%,100%,34,34,34
09:49:37,81,93,5184000000,5952000000,1695.22,4584.03,724.65,2416.68,17.34,19.59,1109878763.28,1253873611.01,100%,100%,35,35,35
09:49:42,66,67,4224000000,4288000000,1659.64,4960.16,771.14,2393.91,12.21,11.72,781334749.77,750294896.22,100%,100%,36,36,36
09:49:47,102,81,6528000000,5184000000,1709.82,4605.11,788.25,2394.7,21.98,17.56,1406463414.33,1123600223.64,100%,100%,37,37,37
09:49:52,105,99,6720000000,6336000000,1725.59,3596.66,699.13,1814.19,19.76,19.58,1264715527.35,1253033724,100%,100%,38,38,38
09:49:57,64,63,4096000000,4032000000,1630.52,4237.48,637.98,2401.54,13.81,10.99,883606892.03,703201680.47,100%,100%,39,39,39
09:50:02,26,20,1664000000,1280000000,1748.73,3904,707.15,2367.65,10.56,4.94,676073013.73,316061795.74,100%,100%,40,40,40
